,index,0,1,2,3,4,5,6,7
254,254,          0.00,     348023.89,     348023.89,     348023.89,          0.00,          0.00,      51976.11,          0.00
255,255,          0.00,       2275.03,       2275.03,       2275.03,          0.00,          0.00,       2124.97,          0.00
256,256,          0.00,      26484.99,      26484.99,      26484.99,          0.00,          0.00,      23515.01,          0.00
257,257,          0.00,        488.40,        488.40,        488.40,          0.00,          0.00,         11.60,          0.00
258,258,          0.00,        421.60,        421.60,        421.60,          0.00,          0.00,         78.40,          0.00
259,259,          0.00,       5361.00,       5361.00,       5361.00,          0.00,          0.00,        339.00,          0.00
260,260,          0.00,        843.78,        843.78,        843.78,          0.00,          0.00,        356.22,          0.00
261,261,          0.00,      23209.09,      23209.09,      23209.09,          0.00,          0.00,          0.00,       1309.09
262,262,          0.00,      42779.94,      42779.94,      42779.94,          0.00,          0.00,          0.00,       8379.94
263,263,          0.00,      46420.29,      46420.29,      46420.29,          0.00,          0.00,          0.00,       2020.29
264,264,          0.00,     125019.58,     125019.58,     125019.58,          0.00,          0.00,      11980.42,          0.00
265,265,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        100.00,          0.00
266,266,          0.00,      34225.53,      34225.53,      34225.53,          0.00,          0.00,       3974.47,          0.00
267,267,          0.00,       2691.98,       2691.98,       2691.98,          0.00,          0.00,        108.02,          0.00
268,268,       3021.20,       8954.56,      11975.76,      11416.07,        559.69,          0.00,          0.00,       1854.56
269,269,        100.07,          0.00,        100.07,        100.07,          0.00,          0.00,        800.00,          0.00
270,270,          0.00,        238.90,        238.90,        184.13,         54.77,          0.00,          0.00,        238.90
271,271,        406.16,       6080.50,       6486.66,       5216.60,       1270.06,          0.00,          0.00,       4480.50
272,272,       1372.63,       4773.49,       6146.12,       5084.49,       1061.63,          0.00,          0.00,       2173.49
273,273,       1730.31,        868.34,       2598.65,       2598.65,          0.00,          0.00,       2131.66,          0.00
274,274,          0.00,       1619.36,       1619.36,       1619.36,          0.00,          0.00,          0.00,       1619.36
275,275,          0.00,        108.16,        108.16,        108.16,          0.00,          0.00,          0.00,          8.16
276,276,          0.00,       1691.18,       1691.18,       1691.18,          0.00,          0.00,        608.82,          0.00
277,277,          0.00,        914.84,        914.84,        888.61,         26.23,          0.00,          0.00,        214.84
278,278,          0.00,       4857.84,       4857.84,       4857.84,          0.00,          0.00,          0.00,       4857.84
279,279,          0.00,       1877.70,       1877.70,       1277.70,        600.00,          0.00,          0.00,        477.70
280,280,          0.00,      10506.65,      10506.65,       9675.95,        830.70,          0.00,          0.00,        506.65
